"Theme 2 - 3 : Usually resident population by ethnic or cultural background, 2006";;;;;;;;
"Ethnic Group";"White Irish";"White Irish Traveller";"Any other White background";"Black or Black Irish";"Asian or Asian Irish";"Other";"Not stated";"Total"
"Geographic Area";;;;;;;;
"Leinster";1943622;11367;161884;31668;38660;27817;44896;2259914
"Carlow County";44314;267;3193;345;309;432;828;49688
"001 Carlow Urban";3664;35;455;39;87;60;81;4421
"002 Graigue Urban";1225;1;137;38;16;44;29;1490
"003 Clonmore";479;0;25;0;2;6;15;527
"004 Hacketstown";975;0;69;1;0;3;12;1060
"005 Haroldstown";252;0;8;0;0;0;7;267
"006 Kineagh";299;0;6;0;0;0;4;309
"007 Rahill";551;0;17;3;1;5;8;585
"008 Rathvilly";751;1;31;0;0;5;12;800
"009 Tiknock";304;0;15;0;1;3;8;331
"010 Williamstown";250;0;16;0;1;1;3;271
"011 Agha";309;0;9;1;0;0;3;322
"012 Ballinacarrig";901;0;22;0;0;2;7;932
"013 Ballintemple";446;0;26;0;0;5;2;479
"014 Ballon";547;0;68;0;3;6;7;631
"015 Ballyellin";359;0;9;0;0;0;3;371
"016 Ballymoon";251;0;8;0;0;0;1;260
"017 Borris";889;0;60;0;15;4;14;982
"018 Burton Hall";351;0;6;0;0;4;6;367
"019 Carlow Rural";10414;136;1013;255;114;165;263;12360
"020 Clogrenan";758;0;22;0;2;3;8;793
"021 Clonegall";851;1;33;0;2;4;13;904
"022 Corries";466;0;25;0;0;5;4;500
"023 Cranemore";769;20;76;0;5;2;2;874
"024 Fennagh";497;0;14;0;0;2;0;513
"025 Garryhill";552;0;8;4;1;1;10;576
"026 Grangeford";306;0;9;0;3;3;3;324
"027 Johnstown";517;0;6;0;0;1;7;531
"028 Kellistown";985;1;15;1;1;14;13;1030
"029 Kilbride";352;0;25;0;4;1;3;385
"030 Killedmond";368;0;26;0;3;3;7;407
"031 Killerrig";325;0;3;0;0;2;3;333
"032 Leighlinbridge";1350;0;76;0;15;14;25;1480
"033 Muinebeag (Bagenalstown) Rural";626;0;24;0;0;2;6;658
"034 Muinebeag (Bagenalstown) Urban";2286;0;187;0;8;6;26;2513
"035 Myshall";436;0;20;0;0;1;7;464
"036 Nurney";834;2;15;0;2;1;10;864
"037 Oldleighlin";432;0;10;0;0;0;2;444
"038 Rathanna";115;0;9;0;0;0;0;124
"039 Rathornan";352;0;10;0;0;0;3;365
"040 Rathrush";894;8;47;1;0;4;26;980
"041 Ridge";215;3;8;0;0;0;1;227
"042 Shangarry";449;0;13;0;1;4;4;471
"043 Sliguff";466;0;18;0;0;0;3;487
"044 Tankardstown";398;0;22;0;0;6;6;432
"045 Templepeter";388;6;9;0;2;0;1;406
"046 Tullowbeg";403;44;8;0;0;1;12;468
"047 Tullow Rural";445;0;32;0;0;4;7;488
"048 Tullow Urban";2305;9;348;2;17;34;117;2832
"049 Ballymurphy";241;0;7;0;0;0;0;248
"050 Coonogue";186;0;4;0;0;0;5;195
"051 Glynn";320;0;20;0;0;0;1;341
"052 Kyle";286;0;7;0;0;1;0;294
"053 Marley";296;0;7;0;0;0;6;309
"054 Tinnahinch";628;0;30;0;3;0;2;663
"Dublin City";399384;1812;45353;5526;16436;7212;15832;491555
"001 Arran Quay A";929;0;251;44;148;38;56;1466
"002 Arran Quay B";1854;12;927;147;416;111;142;3609
"003 Arran Quay C";1839;6;1026;88;330;127;118;3534
"004 Arran Quay D";2667;2;425;91;32;58;70;3345
"005 Arran Quay E";2253;1;362;58;39;39;102;2854
"006 Ashtown A";6560;6;696;81;135;63;87;7628
"007 Ashtown B";2212;1;169;12;27;28;63;2512
"008 Ayrfield";4957;21;158;28;19;30;99;5312
"009 Ballybough A";2923;2;370;48;55;49;129;3576
"010 Ballybough B";1923;1;623;79;119;63;110;2918
"011 Ballygall A";2864;0;228;18;59;22;113;3304
"012 Ballygall B";1646;9;76;5;15;8;29;1788
"013 Ballygall C";3254;0;133;6;46;32;67;3538
"014 Ballygall D";2296;0;111;3;11;12;39;2472
"015 Ballymun A";1969;4;30;0;11;26;56;2096
"016 Ballymun B";3144;272;231;33;41;22;178;3921
"017 Ballymun C";5414;8;176;27;37;57;162;5881
"018 Ballymun D";2942;11;288;31;43;34;124;3473
"019 Ballymun E";1426;0;47;2;14;5;40;1534
"020 Ballymun F";2327;0;91;6;16;13;14;2467
"021 Beaumont A";2301;0;115;7;80;15;68;2586
"022 Beaumont B";3982;7;311;52;309;83;252;4996
"023 Beaumont C";2722;5;150;17;33;27;69;3023
"024 Beaumont D";2181;0;92;8;43;13;17;2354
"025 Beaumont E";1868;0;119;3;57;17;12;2076
"026 Beaumont F";3068;1;246;16;111;74;42;3558
"027 Botanic A";2658;8;214;9;59;48;52;3048
"028 Botanic B";2614;1;320;31;66;34;55;3121
"029 Botanic C";1568;2;317;32;60;30;26;2035
"030 Cabra East A";3858;2;803;107;218;91;170;5249
"031 Cabra East B";3058;0;229;13;71;56;56;3483
"032 Cabra East C";2392;6;557;71;57;59;133;3275
"033 Cabra West A";1493;3;30;7;2;8;19;1562
"034 Cabra West B";2442;0;101;2;9;23;51;2628
"035 Cabra West C";2537;0;191;7;27;26;52;2840
"036 Cabra West D";2388;1;231;63;45;27;36;2791
"037 Clontarf East A";3038;0;102;7;29;11;25;3212
"038 Clontarf East B";5789;0;531;18;76;64;64;6542
"039 Clontarf East C";2718;0;160;3;26;21;28;2956
"040 Clontarf East D";2384;0;169;7;30;19;17;2626
"041 Clontarf East E";1487;1;95;2;19;13;6;1623
"042 Clontarf West A";3001;0;275;22;41;36;31;3406
"043 Clontarf West B";2183;0;109;13;19;17;45;2386
"044 Clontarf West C";2730;4;502;16;94;66;20;3432
"045 Clontarf West D";1540;0;322;39;63;36;41;2041
"046 Clontarf West E";2080;0;162;10;21;30;15;2318
"047 Drumcondra South A";3208;2;406;49;77;39;99;3880
"048 Drumcondra South B";1095;0;130;29;26;14;45;1339
"049 Drumcondra South C";2906;0;181;18;25;39;38;3207
"050 Edenmore";2552;5;95;18;31;13;32;2746
"051 Finglas North A";3106;258;41;11;6;8;34;3464
"052 Finglas North B";2725;24;77;12;12;16;87;2953
"053 Finglas North C";2795;1;130;7;11;19;52;3015
"054 Finglas South A";2432;18;60;13;15;19;68;2625
"055 Finglas South B";3040;0;98;28;23;28;76;3293
"056 Finglas South C";2487;13;36;3;1;10;35;2585
"057 Finglas South D";2062;12;53;13;3;19;18;2180
"058 Grace Park";5303;1;339;17;87;70;43;5860
"059 Grange A";6397;0;310;50;86;64;107;7014
"060 Grange B";2478;9;220;17;62;11;44;2841
"061 Grange C";3079;10;97;15;12;27;58;3298
"062 Grange D";3821;7;176;29;56;47;49;4185
"063 Grange E";2495;9;76;7;18;11;26;2642
"064 Harmonstown A";2625;0;104;12;23;10;25;2799
"065 Harmonstown B";2405;2;121;3;27;24;43;2625
"066 Inns Quay A";1849;31;394;56;397;54;884;3665
"067 Inns Quay B";1714;13;624;65;231;72;317;3036
"068 Inns Quay C";1669;1;411;53;274;67;158;2633
"069 Kilmore A";2972;0;205;38;68;54;130;3467
"070 Kilmore B";2433;1;37;10;57;13;238;2789
"071 Kilmore C";1397;0;23;4;5;8;19;1456
"072 Kilmore D";2097;2;66;10;11;17;49;2252
"073 Mountjoy A";1865;5;664;99;285;84;328;3330
"074 Mountjoy B";1386;1;1079;95;390;137;220;3308
"075 North City";1128;3;783;56;575;143;219;2907
"076 North Dock A";954;0;129;14;36;21;29;1183
"077 North Dock B";2958;0;371;58;36;60;111;3594
"078 North Dock C";2331;0;730;29;336;105;378;3909
"079 Phoenix Park";1158;0;236;27;54;30;28;1533
"080 Priorswood A";1463;1;31;11;6;6;58;1576
"081 Priorswood B";2483;264;17;17;36;16;42;2875
"082 Priorswood C";3176;60;60;34;21;38;127;3516
"083 Priorswood D";2519;12;99;8;23;27;62;2750
"084 Priorswood E";2568;9;49;2;11;16;67;2722
"085 Raheny-Foxfield";2421;1;55;2;17;6;31;2533
"086 Raheny-Greendale";2105;2;77;6;14;11;53;2268
"087 Raheny-St. Assam";3068;0;123;14;14;17;41;3277
"088 Rotunda A";1807;13;971;138;622;149;365;4065
"089 Rotunda B";783;5;593;65;296;80;234;2056
"090 Whitehall A";3166;1;173;23;93;41;166;3663
"091 Whitehall B";3515;1;235;34;66;26;60;3937
"092 Whitehall C";1887;6;122;25;48;20;45;2153
"093 Whitehall D";2096;1;245;28;84;29;59;2542
"094 Chapelizod";2437;5;309;36;137;56;26;3006
"095 Cherry Orchard A";2341;147;138;60;31;22;70;2809
"096 Carna";2551;5;28;25;1;17;61;2688
"097 Cherry Orchard C";3438;5;139;77;11;24;95;3789
"098 Crumlin A";3417;2;134;21;82;31;82;3769
"099 Crumlin B";2873;1;117;20;49;31;23;3114
"100 Crumlin C";2086;0;168;26;56;15;20;2371
"101 Crumlin D";3549;0;213;53;71;53;42;3981
"102 Crumlin E";2553;12;89;15;68;13;36;2786
"103 Crumlin F";2522;9;180;37;215;41;65;3069
"104 Decies";2727;3;25;15;13;11;42;2836
"105 Drumfinn";3336;0;71;40;12;12;51;3522
"106 Inchicore A";1572;6;206;22;33;36;57;1932
"107 Inchicore B";1587;3;86;24;14;8;74;1796
"108 Kilmainham A";2208;7;103;29;21;17;27;2412
"109 Kilmainham B";1275;1;250;23;42;24;19;1634
"110 Kilmainham C";3264;28;490;173;94;76;78;4203
"111 Kimmage A";1847;6;65;11;24;14;42;2009
"112 Kimmage B";3451;1;104;24;29;32;33;3674
"113 Kimmage C";2355;0;263;25;62;51;108;2864
"114 Kimmage D";2380;6;100;7;27;31;35;2586
"115 Kimmage E";3107;2;157;20;37;47;14;3384
"116 Kylemore";2455;154;40;10;3;7;17;2686
"117 Mansion House A";2756;0;541;24;229;80;267;3897
"118 Mansion House B";272;0;118;1;26;21;119;557
"119 Merchants Quay A";1233;2;344;42;132;65;51;1869
"120 Merchants Quay B";1907;22;997;122;497;131;118;3794
"121 Merchants Quay C";1932;8;480;45;179;79;77;2800
"122 Merchants Quay D";1665;2;223;17;75;32;17;2031
"123 Merchants Quay E";1353;2;317;66;315;95;65;2213
"124 Merchants Quay F";1723;9;284;84;176;72;65;2413
"125 Pembroke East A";4149;36;288;5;55;52;120;4705
"126 Pembroke East B";2834;1;318;15;59;55;87;3369
"127 Pembroke East C";3033;0;396;18;144;59;41;3691
"128 Pembroke East D";3258;1;334;19;309;71;232;4224
"129 Pembroke East E";2250;1;582;27;121;73;360;3414
"130 Pembroke West A";3217;0;478;13;111;47;159;4025
"131 Pembroke West B";1873;0;364;19;125;67;343;2791
"132 Pembroke West C";2362;0;633;8;185;93;488;3769
"133 Rathfarnham";3832;0;458;28;131;76;40;4565
"134 Rathmines East A";3025;0;553;47;286;93;136;4140
"135 Rathmines East B";4158;2;542;38;239;90;133;5202
"136 Rathmines East C";2819;0;325;24;96;45;31;3340
"137 Rathmines East D";2058;0;311;35;173;52;64;2693
"138 Rathmines West A";3232;24;914;113;338;142;129;4892
"139 Rathmines West B";2081;0;624;69;194;93;120;3181
"140 Rathmines West C";1932;0;368;36;101;47;72;2556
"141 Rathmines West D";2347;0;422;48;177;64;91;3149
"142 Rathmines West E";2524;0;381;57;129;50;63;3204
"143 Rathmines West F";2067;1;437;38;140;66;52;2801
"144 Royal Exchange A";1415;5;589;33;264;91;458;2855
"145 Royal Exchange B";874;0;166;21;152;46;283;1542
"146 St. Kevin's";2262;8;793;241;345;134;591;4374
"147 South Dock";3124;35;987;30;242;128;176;4722
"148 Terenure A";2849;1;272;17;98;45;35;3317
"149 Terenure B";2939;0;182;28;57;38;27;3271
"150 Terenure C";1663;0;70;5;11;5;10;1764
"151 Terenure D";756;0;25;0;3;8;8;800
"152 Ushers A";949;2;347;123;312;92;72;1897
"153 Ushers B";681;0;275;43;89;53;96;1237
"154 Ushers C";2359;19;383;48;93;47;71;3020
"155 Ushers D";1129;15;188;71;126;34;71;1634
"156 Ushers E";1582;0;136;71;64;34;22;1909
"157 Ushers F";2425;3;255;49;180;64;210;3186
"158 Walkinstown A";1789;5;73;20;32;11;33;1963
"159 Walkinstown B";1662;2;54;3;47;5;22;1795
"160 Walkinstown C";1953;0;104;8;21;9;28;2123
"161 Wood Quay A";2114;1;188;9;102;41;142;2597
"162 Wood Quay B";2178;1;536;94;339;132;123;3403
"Dún Laoghaire-Rathdown";167679;363;12744;865;3746;2704;2320;190421
"001 Ballinteer-Broadford";2808;0;149;25;61;53;36;3132
"002 Ballinteer-Ludford";1971;0;57;7;43;6;12;2096
"003 Ballinteer-Marley";2255;0;95;6;20;33;17;2426
"004 Ballinteer-Meadowbroads";1410;1;92;8;17;19;13;1560
"005 Ballinteer-Meadowmount";1811;8;75;10;10;29;15;1958
"006 Ballinteer-Woodpark";3934;1;205;20;56;28;20;4264
"007 Ballybrack";2933;1;99;10;39;45;28;3155
"008 Blackrock-Booterstown";2332;0;297;14;84;58;69;2854
"009 Blackrock-Carysfort";4760;3;421;19;169;81;51;5504
"010 Blackrock-Central";2955;0;323;7;117;55;34;3491
"011 Blackrock-Glenomena";1523;0;132;6;38;71;15;1785
"012 Blackrock-Monkstown";2527;0;335;21;34;47;39;3003
"013 Blackrock-Newpark";1892;0;136;4;21;26;12;2091
"014 Blackrock-Seapoint";1083;0;144;5;24;23;27;1306
"015 Blackrock-Stradbrook";2099;0;140;4;49;19;24;2335
"016 Blackrock-Templehill";2251;0;185;23;62;50;65;2636
"017 Blackrock-Williamstown";1924;13;192;13;92;39;31;2304
"018 Cabinteely-Granitefield";2154;0;141;11;45;17;19;2387
"019 Cabinteely-Kilbogget";2804;25;77;5;15;20;16;2962
"020 Cabinteely-Loughlinstown";1946;0;307;24;144;65;35;2521
"021 Cabinteely-Pottery";4294;15;211;7;81;59;149;4816
"022 Churchtown-Castle";1089;0;58;4;32;16;37;1236
"023 Churchtown-Landscape";1130;0;28;0;8;8;7;1181
"024 Churchtown-Nutgrove";2764;30;134;4;61;34;45;3072
"025 Churchtown-Orwell";1629;0;72;5;14;15;77;1812
"026 Churchtown-Woodlawn";1171;0;76;0;9;25;15;1296
"027 Clonskeagh-Belfield";1722;0;235;20;128;55;30;2190
"028 Clonskeagh-Farranboley";1318;0;75;5;43;17;13;1471
"029 Clonskeagh-Milltown";1601;0;139;9;67;46;9;1871
"030 Clonskeagh-Roebuck";1771;1;125;11;42;33;11;1994
"031 Clonskeagh-Windy Arbour";2076;5;218;21;41;68;43;2472
"032 Dalkey-Avondale";1302;0;64;5;6;10;4;1391
"033 Dalkey-Bullock";1507;1;94;1;26;20;12;1661
"034 Dalkey-Coliemore";1206;2;103;7;15;23;12;1368
"035 Dalkey Hill";1187;1;113;6;17;13;6;1343
"036 Dalkey Upper";1960;0;101;7;9;14;5;2096
"037 Dundrum-Balally";4231;63;294;34;109;71;26;4828
"038 Dundrum-Kilmacud";2433;1;328;10;88;61;10;2931
"039 Dundrum-Sandyford";5065;21;376;27;105;88;44;5726
"040 Dundrum-Sweetmount";1692;0;78;20;24;19;20;1853
"041 Dundrum-Taney";2281;2;136;16;40;37;41;2553
"042 Dún Laoghaire-East Central";1270;1;277;16;116;40;57;1777
"043 Dún Laoghaire-Glasthule";2233;1;207;17;55;31;49;2593
"044 Dún Laoghaire-Glenageary";1549;2;215;25;39;46;55;1931
"045 Dún Laoghaire-Monkstown Farm";1697;3;154;5;41;21;36;1957
"046 Dún Laoghaire-Mount Town";1464;0;77;8;6;16;26;1597
"047 Dún Laoghaire-Sallynoggin East";2652;0;121;8;40;24;26;2871
"048 Dún Laoghaire-Sallynoggin South";1252;0;66;5;10;16;16;1365
"049 Dún Laoghaire-Sallynoggin West";1833;8;78;5;6;15;24;1969
"050 Dún Laoghaire-Sandycove";3226;0;293;9;68;41;29;3666
"051 Dún Laoghaire-Salthill";1186;7;271;8;88;46;35;1641
"052 Dún Laoghaire-West Central";1570;0;239;9;105;34;34;1991
"053 Foxrock-Beechpark";1587;0;78;1;7;11;3;1687
"054 Foxrock-Carrickmines";5314;0;377;23;104;65;39;5922
"055 Foxrock-Deans Grange";2249;0;118;4;43;26;12;2452
"056 Foxrock-Torquay";1227;0;73;6;23;13;12;1354
"057 Glencullen";11592;44;1085;110;213;283;233;13560
"058 Killiney North";2896;0;210;1;20;30;30;3187
"059 Killiney South";5729;35;288;25;49;69;110;6305
"060 Shankill-Rathmichael";3987;54;312;10;87;50;57;4557
"061 Shankill-Rathsallagh";3048;7;139;13;42;30;53;3332
"062 Shankill-Shanganagh";4470;6;412;27;166;86;65;5232
"063 Stillorgan-Deerpark";2605;0;127;1;21;21;24;2799
"064 Stillorgan-Kilmacud";3450;1;205;2;55;61;20;3794
"065 Stillorgan-Leopardstown";1811;0;121;7;58;16;17;2030
"066 Stillorgan-Merville";2455;0;203;46;70;27;27;2828
"067 Stillorgan-Mount Merrion";2175;0;96;5;47;24;12;2359
"068 Stillorgan-Priory";1735;0;174;4;53;35;15;2016
"069 Tibradden";616;0;68;4;9;11;10;718
"Fingal";190835;1122;21509;8394;5176;3927;5811;236774
"001 Airport";1005;29;234;24;45;27;31;1395
"002 Balbriggan Rural";7508;36;687;747;120;128;332;9558
"003 Balbriggan Urban";5827;19;369;198;61;76;122;6672
"004 Baldoyle";5438;9;256;24;49;28;93;5897
"005 Balgriffin";815;0;51;0;5;4;18;893
"006 Ballyboghil";878;12;26;1;7;2;21;947
"007 Balscadden";586;26;30;0;3;3;1;649
"008 Blanchardstown-Abbotstown";2142;305;699;310;361;135;109;4061
"009 Blanchardstown-Blakestown";22473;31;3696;2496;1157;850;1348;32051
"010 Blanchardstown-Coolmine";8000;55;1093;478;404;341;321;10692
"011 Blanchardstown-Corduff";3936;11;326;221;62;79;154;4789
"012 Blanchardstown-Delwood";3865;0;533;164;187;99;69;4917
"013 Blanchardstown-Mulhuddart";1613;12;423;349;100;98;156;2751
"014 Blanchardstown-Roselawn";1644;0;86;21;41;7;8;1807
"015 Blanchardstown-Tyrrelstown";1111;53;86;73;12;35;175;1545
"016 Castleknock-Knockmaroon";12826;30;2012;645;655;427;254;16849
"017 Castleknock-Park";3918;41;211;14;30;27;66;4307
"018 Clonmethan";582;0;30;0;1;3;6;622
"019 Donabate";6560;16;511;105;82;117;134;7525
"020 Dubber";2632;66;426;71;129;62;302;3688
"021 Garristown";1083;0;62;5;3;7;17;1177
"022 Hollywood";973;0;9;0;2;1;8;993
"023 Holmpatrick";3008;3;72;4;7;17;28;3139
"024 Howth";7261;3;508;14;44;72;124;8026
"025 Kilsallaghan";1947;6;86;0;9;7;12;2067
"026 Kinsaley";4657;6;459;60;49;74;123;5428
" 027 Lucan North";1031;0;75;9;13;10;11;1149
"028 Lusk";5978;61;484;208;84;72;106;6993
"029 Malahide East";5132;1;528;27;157;84;47;5976
"030 Malahide West";5680;1;363;10;55;40;49;6198
"031 Portmarnock North";4284;0;119;1;30;20;33;4487
"032 Portmarnock South";3206;32;173;12;32;17;24;3496
"033 Rush";6941;6;760;109;45;92;185;8138
"034 Skerries";7021;14;605;229;37;108;86;8100
"035 Sutton";5262;0;323;17;65;54;79;5800
"036 Swords-Forrest";9717;38;1433;393;292;183;236;12292
"037 Swords-Glasmore";6536;9;634;148;67;66;217;7677
"038 Swords-Lissenhall";6709;68;1176;402;128;147;293;8923
"039 Swords-Seatown";4929;6;570;57;57;87;105;5811
"040 Swords Village";1830;11;327;43;117;55;89;2472
"041 The Ward";2824;106;806;701;349;145;194;5125
"042 Turnapin";1467;0;152;4;23;21;25;1692
"South Dublin";208787;1761;14326;6395;5283;3241;4894;244687
"001 Ballinascorney";579;15;50;50;11;20;15;740
"002 Ballyboden";4707;35;209;46;57;56;39;5149
"003 Bohernabreena";3838;13;155;88;39;45;76;4254
"004 Clondalkin-Ballymount";1667;20;146;20;36;16;90;1995
"005 Clondalkin-Cappaghmore";1694;83;37;42;10;22;33;1921
"006 Clondalkin-Dunawley";8534;341;691;600;279;158;229;10832
"007 Clondalkin-Monastery";7992;36;1204;350;220;175;171;10148
"008 Clondalkin-Moorfield";5421;28;135;101;43;67;156;5951
"009 Clondalkin-Rowlagh";3983;5;67;33;12;21;53;4174
"010 Clondalkin Village";6985;45;849;244;154;68;161;8506
"011 Edmondstown";5071;11;223;54;100;103;68;5630
"012 Firhouse-Ballycullen";5830;1;314;85;140;115;82;6567
"013 Firhouse-Knocklyon";3740;67;106;5;29;14;25;3986
"014 Firhouse Village";8858;25;687;309;314;298;195;10686
"015 Lucan-Esker";18115;194;2467;1911;1614;670;640;25611
"016 Lucan Heights";4667;6;237;88;76;40;82;5196
"017 Lucan-St. Helen's";5723;16;389;105;117;45;129;6524
"018 Newcastle";2339;4;187;3;23;17;30;2603
"019 Palmerston Village";3442;5;162;23;59;19;28;3738
"020 Palmerston West";6698;39;306;107;87;49;322;7608
"021 Rathcoole";3126;5;285;17;44;31;58;3566
"022 Rathfarnham-Ballyroan";2324;0;63;6;19;28;20;2460
"023 Rathfarnham-Butterfield";3036;0;115;15;34;22;22;3244
"024 Rathfarnham-Hermitage";4091;0;235;25;143;48;22;4564
"025 Rathfarnham-St. Enda's";3521;4;183;10;76;62;28;3884
"026 Rathfarnham Village";2653;0;207;13;63;34;35;3005
"027 Saggart";1588;3;118;14;13;17;165;1918
"028 Tallaght-Avonbeg";1473;0;28;12;14;8;29;1564
"029 Tallaght-Belgard";1515;36;203;29;10;16;22;1831
"030 Tallaght-Fettercairn";5558;175;194;220;142;78;209;6576
"031 Tallaght-Glenview";1048;6;76;38;9;16;44;1237
"032 Tallaght-Jobstown";10665;195;820;903;336;206;322;13447
"033 Tallaght-Killinardan";3726;15;84;26;19;15;248;4133
"034 Tallaght-Kilnamanagh";4630;0;165;12;29;16;70;4922
"035 Tallaght-Kiltipper";5533;70;254;185;104;52;212;6410
"036 Tallaght-Kingswood";3527;40;186;22;40;44;63;3922
"037 Tallaght-Millbrook";3247;1;147;36;24;24;60;3539
"038 Tallaght-Oldbawn";3866;12;249;56;57;48;64;4352
"039 Tallaght-Springfield";5273;170;1023;348;404;238;309;7765
"040 Tallaght-Tymon";4701;29;191;30;28;42;82;5103
"041 Templeogue-Cypress";2740;0;104;16;35;20;12;2927
"042 Templeogue-Kimmage Manor";3868;11;155;56;51;33;46;4220
"043 Templeogue-Limekiln";3433;0;100;9;31;21;40;3634
"044 Templeogue-Orwell";2204;0;56;1;12;11;10;2294
"045 Templeogue-Osprey";2422;0;44;7;48;8;14;2543
"046 Templeogue Village";1669;0;169;8;33;31;5;1915
"047 Terenure-Cherryfield";2050;0;87;8;26;31;29;2231
"048 Terenure-Greentrees";2747;0;75;6;10;7;16;2861
"049 Terenure-St. James";2670;0;89;3;9;16;14;2801
"Kildare County";161630;481;13145;2542;1726;2193;2613;184330
"001 Athy East Urban";2748;7;252;88;47;34;42;3218
"002 Athy West Urban";2561;3;175;164;11;43;60;3017
"003 Naas Urban";15546;15;2582;280;336;435;573;19767
"004 Athy Rural";2054;65;152;79;16;50;61;2477
"005 Ballaghmoon";210;0;5;0;2;0;0;217
"006 Ballitore";735;0;29;0;0;2;10;776
"007 Ballybrackan";448;0;8;0;1;0;9;466
"008 Ballyshannon";1513;0;54;8;3;24;15;1617
"009 Belan";207;0;7;0;2;1;2;219
"010 Bert";147;0;5;1;0;0;0;153
"011 Burtown";284;0;19;0;1;3;4;311
"012 Carrigeen";534;0;20;1;3;12;4;574
"013 Castledermot";1209;0;42;0;9;6;26;1292
"014 Churchtown";454;0;15;0;0;3;9;481
"015 Dunmanoge";416;11;17;0;1;3;9;457
"016 Fontstown";354;0;14;0;2;0;8;378
"017 Graney";592;0;19;0;1;5;2;619
"018 Grangemellon";535;0;13;1;1;1;17;568
"019 Harristown";365;0;8;0;0;2;6;381
"020 Inchaquire";175;0;6;0;1;1;2;185
"021 Johnstown";156;0;5;0;0;2;4;167
"022 Kilberry";568;0;1;2;0;1;8;580
"023 Kildangan";502;0;16;0;2;1;8;529
"024 Kilkea";304;0;12;0;1;1;8;326
"025 Kilrush";544;0;15;2;0;6;13;580
"026 Lackagh";633;0;24;0;3;1;15;676
"027 Monasterevin";3347;3;164;22;7;26;51;3620
"028 Moone";394;0;15;5;0;2;9;425
"029 Narraghmore";665;0;22;0;4;9;10;710
"030 Nurney";849;0;27;1;0;4;10;891
"031 Quinsborough";130;0;3;1;0;1;1;136
"032 Skerries";456;0;14;0;0;0;13;483
"033 Balraheen";1529;0;66;3;5;8;18;1629
"034 Celbridge";12586;31;1285;463;204;185;74;14828
"035 Cloncurry";1331;0;48;1;7;0;4;1391
"036 Donadea";639;0;33;1;0;4;1;678
"037 Donaghcumper";3698;0;343;32;61;40;21;4195
"038 Kilcock";3997;22;409;66;37;45;60;4636
"039 Leixlip";12937;15;928;266;182;187;127;14642
"040 Maynooth";9472;51;1002;154;212;180;118;11189
"041 Straffan";1258;4;67;0;18;8;16;1371
"042 Ballynadrumny";477;0;35;1;1;10;6;530
"043 Cadamstown";1022;7;40;6;0;4;14;1093
"044 Carbury";1618;1;67;2;1;7;21;1717
"045 Carrick";235;0;8;0;0;1;2;246
"046 Cloncurry";329;0;15;0;0;0;7;351
"047 Drehid";217;0;8;0;0;0;3;228
"048 Dunfierth";660;0;19;0;1;1;3;684
"049 Killinthomas";426;1;2;0;0;1;7;437
"050 Kilpatrick";791;0;25;0;1;3;21;841
"051 Kilrainy";590;0;24;0;0;2;4;620
"052 Lullymore";174;0;4;0;0;2;1;181
"053 Rathangan";1358;0;68;3;7;9;39;1484
"054 Thomastown";673;0;31;0;1;4;14;723
"055 Windmill Cross";783;0;69;1;6;8;11;878
"056 Ballymore Eustace";1397;0;61;3;2;7;35;1505
"057 Ballysax East";2009;1;59;4;5;5;34;2117
"058 Ballysax West";973;0;26;2;7;11;16;1035
"059 Bodenstown";3262;22;202;134;18;31;41;3710
"060 Carnalway";1538;0;101;4;8;16;23;1690
"061 Carragh";1403;15;43;0;7;3;10;1481
"062 Clane";5296;19;470;71;49;65;85;6055
"063 Donore";709;1;29;0;0;5;4;748
"064 Downings";2354;3;121;15;15;13;43;2564
"065 Droichead Nua (Newbridge) Rural";1716;0;82;4;22;8;14;1846
"066 Droichead Nua (Newbridge) Urban";6367;59;770;176;90;174;159;7795
"067 Dunmurry";367;0;24;3;1;2;2;399
"068 Feighcullen";494;0;18;1;0;1;3;517
"069 Gilltown";817;0;53;0;2;7;3;882
"070 Kilcullen";2694;1;178;32;23;24;55;3007
"071 Kildare";7437;30;700;194;61;135;146;8703
"072 Kill";3409;2;158;34;27;21;46;3697
"073 Killashee";217;1;40;1;8;5;1;273
"074 Kilmeage North";1667;0;65;2;2;7;27;1770
"075 Kilmeage South";1544;0;73;6;2;17;17;1659
"076 Kilteel";528;0;17;0;4;0;0;549
"077 Ladytown";759;13;41;0;5;11;8;837
"078 Morristownbiller";9429;47;1024;143;139;134;115;11031
"079 Naas Rural";1437;0;153;41;10;29;25;1695
"080 Newtown";453;0;14;0;0;1;3;471
"081 Oldconnell";755;31;37;0;7;13;17;860
"082 Oughterard";637;0;23;0;2;11;10;683
"083 Pollardstown";271;0;13;0;0;4;2;290
"084 Rathernan";480;0;17;0;1;2;5;505
"085 Rathmore";923;0;51;1;2;11;23;1011
"086 Robertstown";1791;0;49;7;5;20;25;1897
"087 Timahoe North";958;0;21;0;0;3;6;988
"088 Timahoe South";656;0;27;10;3;9;6;711
"089 Usk";448;0;29;0;1;0;3;481
"Kilkenny County";79111;361;4568;356;446;655;1192;86689
"001 Kilkenny No. 1 Urban";4085;6;513;47;108;74;177;5010
"002 Kilkenny No. 2 Urban";2919;7;263;47;45;41;74;3396
"003 Burnchurch";452;0;8;0;1;3;2;466
"004 Callan Rural";1189;7;41;0;3;3;75;1318
